time_step,stress_t,stress_tdt,pl_strain_t,pl_strain_tdt,el_strain_t,el_strain_tdt,strain_t,strain_tdt,energy_tdt,dissipation_rate,group,strain_dynamic_tdt,stress_dynamic_tdt
0,0,-18.07284223,0,-6.75E-06,0,-9.33E-05,0,-0.0001,0.00174006,0.000125874,0,0,0
1,-18.07284223,-33.99112603,-6.75E-06,-2.58E-05,-9.33E-05,-0.0001742,-0.0001,-0.0002,0.00455882,0.000663605,0,0,0
2,-33.99112603,-50.94682924,-2.58E-05,-5.55E-05,-0.0001742,-0.0002445,-0.0002,-0.0003,0.007995104,0.001453326,0,0,0
3,-50.94682924,-57.0837794,-5.55E-05,-9.45E-05,-0.0002445,-0.0003055,-0.0003,-0.0004,0.011722703,0.002382252,0,0,0
4,-57.0837794,-73.72367858,-9.45E-05,-0.000141545,-0.0003055,-0.000358455,-0.0004,-0.0005,0.015519741,0.003372073,0,0,0
5,-73.72367858,-81.69296059,-0.000141545,-0.000195566,-0.000358455,-0.000404434,-0.0005,-0.0006,0.019238832,0.004369577,0,0,0
6,-81.69296059,-88.34544473,-0.000195566,-0.000255651,-0.000404434,-0.000444349,-0.0006,-0.0007,0.022786071,0.005339699,0,0,0
7,-88.34544473,-102.9444697,-0.000255651,-0.000320999,-0.000444349,-0.000479001,-0.0007,-0.0008,0.026105737,0.006260388,0,0,0
8,-102.9444697,-106.0227252,-0.000320999,-0.000390917,-0.000479001,-0.000509083,-0.0008,-0.0009,0.029168581,0.007118822,0,0,0
9,-106.0227252,-105.6513542,-0.000390917,-0.000464803,-0.000509083,-0.000535197,-0.0009,-0.001,0.03196381,0.007908637,0,0,0
10,-105.6513542,-113.1170484,-0.000464803,-0.000542132,-0.000535197,-0.000557868,-0.001,-0.0011,0.034493295,0.008627896,0,0,0
11,-113.1170484,-114.6343823,-0.000542132,-0.000622451,-0.000557868,-0.000577549,-0.0011,-0.0012,0.036766644,0.009277626,0,0,0
12,-114.6343823,-122.7165382,-0.000622451,-0.000705365,-0.000577549,-0.000594635,-0.0012,-0.0013,0.03879863,0.009860757,0,0,0
13,-122.7165382,-107.5426378,-0.000705365,-0.000790533,-0.000594635,-0.000609467,-0.0013,-0.0014,0.040606554,0.01038137,0,0,0
14,-107.5426378,-126.2518486,-0.000790533,-0.000877656,-0.000609467,-0.000622344,-0.0014,-0.0015,0.042209338,0.010844167,0,0,0
15,-126.2518486,-132.1364801,-0.000877656,-0.000966478,-0.000622344,-0.000633522,-0.0015,-0.0016,0.043625639,0.011254101,0,0,0
16,-132.1364801,-131.2848608,-0.000966478,-0.001056774,-0.000633522,-0.000643226,-0.0016,-0.0017,0.044874012,0.011616131,0,0,0
17,-131.2848608,-130.539442,-0.001056774,-0.00114835,-0.000643226,-0.00065165,-0.0017,-0.0018,0.045971913,0.011935058,0,0,0
18,-130.539442,-136.4015514,-0.00114835,-0.001241036,-0.00065165,-0.000658964,-0.0018,-0.0019,0.046935845,0.012215422,0,0,0
19,-136.4015514,-131.4966615,-0.001241036,-0.001334687,-0.000658964,-0.000665313,-0.0019,-0.002,0.047780659,0.012461449,0,0,0
20,-131.4966615,-135.1481407,-0.001334687,-0.001429176,-0.000665313,-0.000670824,-0.002,-0.0021,0.048520042,0.012677016,0,0,0
21,-135.1481407,-131.043976,-0.001429176,-0.001524391,-0.000670824,-0.000675609,-0.0021,-0.0022,0.0491666,0.012865652,0,0,0
22,-131.043976,-130.8395137,-0.001524391,-0.001620237,-0.000675609,-0.000679763,-0.0022,-0.0023,0.049731347,0.01303054,0,0,0
23,-130.8395137,-138.947905,-0.001620237,-0.001716631,-0.000679763,-0.000683369,-0.0023,-0.0024,0.050224192,0.013174533,0,0,0
24,-138.947905,-137.2592337,-0.001716631,-0.001813501,-0.000683369,-0.000686499,-0.0024,-0.0025,0.050653941,0.013300177,0,0,0
25,-137.2592337,-135.4858957,-0.001813501,-0.001910783,-0.000686499,-0.000689217,-0.0025,-0.0026,0.051028599,0.013409734,0,0,0
26,-135.4858957,-141.8636046,-0.001910783,-0.002008424,-0.000689217,-0.000691576,-0.0026,-0.0027,0.051354885,0.013505208,0,0,0
27,-141.8636046,-138.7237442,-0.002008424,-0.002106376,-0.000691576,-0.000693624,-0.0027,-0.0028,0.051638994,0.013588365,0,0,0
28,-138.7237442,-132.5580807,-0.002106376,-0.002204598,-0.000693624,-0.000695402,-0.0028,-0.0029,0.051886279,0.013660762,0,0,0
29,-132.5580807,-141.7165107,-0.002204598,-0.002303054,-0.000695402,-0.000696946,-0.0029,-0.003,0.052101496,0.013723767,0,0,0
30,-141.7165107,-141.9643226,-0.002303054,-0.002401714,-0.000696946,-0.000698286,-0.003,-0.0031,0.052288636,0.013778581,0,0,0
31,-141.9643226,-147.3140989,-0.002401714,-0.002500551,-0.000698286,-0.000699449,-0.0031,-0.0032,0.052451328,0.013826255,0,0,0
32,-147.3140989,-139.1055111,-0.002500551,-0.002599541,-0.000699449,-0.000700459,-0.0032,-0.0033,0.052592821,0.013867708,0,0,0
33,-139.1055111,-138.4884799,-0.002599541,-0.002698664,-0.000700459,-0.000701336,-0.0033,-0.0034,0.052715835,0.013903745,0,0,0
34,-138.4884799,-145.4238474,-0.002698664,-0.002797903,-0.000701336,-0.000702097,-0.0034,-0.0035,0.052822694,0.013935067,0,0,0
35,-145.4238474,-138.996409,-0.002797903,-0.002897243,-0.000702097,-0.000702757,-0.0035,-0.0036,0.052915458,0.013962287,0,0,0
36,-138.996409,-148.2505426,-0.002897243,-0.002996669,-0.000702757,-0.000703331,-0.0036,-0.0037,0.052996201,0.013985939,0,0,0
37,-148.2505426,-148.5154643,-0.002996669,-0.003096171,-0.000703331,-0.000703829,-0.0037,-0.0038,0.053066302,0.014006488,0,0,0
38,-148.5154643,-144.1366609,-0.003096171,-0.003195739,-0.000703829,-0.000704261,-0.0038,-0.0039,0.05312715,0.01402434,0,0,0
39,-144.1366609,-148.2080718,-0.003195739,-0.003295363,-0.000704261,-0.000704637,-0.0039,-0.004,0.053180139,0.014039846,0,0,0
40,-148.2080718,-95.10267266,-0.003295363,-0.003381539,-0.000704637,-0.000518461,-0.004,-0.0039,0.033875152,0.008935757,0,0,0
41,-95.10267266,-65.24278889,-0.003381539,-0.003443163,-0.000518461,-0.000356837,-0.0039,-0.0038,0.022340466,0.004397918,0,0,0
42,-65.24278889,-41.7110231,-0.003443163,-0.003483472,-0.000356837,-0.000216528,-0.0038,-0.0037,0.016264306,0.001745615,0,0,0
43,-41.7110231,-18.15745315,-0.003483472,-0.003505278,-0.000216528,-9.47E-05,-0.0037,-0.0036,0.013956346,0.000413097,0,0,0
44,-18.15745315,2.29210526,-0.003505278,-0.00351102,-9.47E-05,1.10E-05,-0.0036,-0.0035,1.42E-02,-1.27E-05,0,0,0
45,2.29210526,22.36978449,-0.00351102,-0.003502818,1.10E-05,0.000102818,-0.0035,-0.0034,0.016077422,0.000168673,0,0,0
46,22.36978449,38.17855021,-0.003502818,-0.003482509,0.000102818,0.000182509,-0.0034,-0.0033,0.018986293,0.000741297,0,0,0
47,38.17855021,51.37739818,-0.003482509,-0.003451691,0.000182509,0.000251691,-0.0033,-0.0032,0.022468797,0.001551321,0,0,0
48,51.37739818,61.95441925,-0.003451691,-0.00341175,0.000251691,0.00031175,-0.0032,-0.0031,0.026213477,0.002490347,0,0,0
49,61.95441925,70.05364302,-0.00341175,-0.003363888,0.00031175,0.000363888,-0.0031,-0.003,0.030007959,0.003483265,0,0,0
50,70.05364302,81.58829501,-0.003363888,-0.003309151,0.000363888,0.000409151,-0.003,-0.0029,0.033711838,0.004479182,0,0,0
51,81.58829501,87.25121747,-0.003309151,-0.003248444,0.000409151,0.000448444,-0.0029,-0.0028,0.037235982,0.005444704,0,0,0
52,87.25121747,97.35141206,-0.003248444,-0.003182556,0.000448444,0.000482556,-0.0028,-0.0027,0.04052817,0.006358972,0,0,0
53,97.35141206,90.88688599,-0.003182556,-0.003112169,0.000482556,0.000512169,-0.0027,-0.0026,0.043561541,0.007210003,0,0,0
54,90.88688599,107.3649057,-0.003112169,-0.003037877,0.000512169,0.000537877,-0.0026,-0.0025,0.046327087,0.007992011,0,0,0
55,107.3649057,117.349009,-0.003037877,-0.002960194,0.000537877,0.000560194,-0.0025,-0.0024,0.048827457,0.008703454,0,0,0
56,117.349009,111.8816764,-0.002960194,-0.002879568,0.000560194,0.000579568,-0.0024,-0.0023,0.051073168,0.009345616,0,0,0
57,111.8816764,122.4552393,-0.002879568,-0.002796388,0.000579568,0.000596388,-0.0023,-0.0022,0.053079416,0.009921586,0,0,0
58,122.4552393,119.9966448,-0.002796388,-0.002710989,0.000596388,0.000610989,-0.0022,-0.0021,0.054863626,0.010435538,0,0,0
59,119.9966448,126.1416201,-0.002710989,-0.002623665,0.000610989,0.000623665,-0.0021,-0.002,0.056444741,0.010892217,0,0,0
60,126.1416201,92.37486954,-0.002623665,-0.002548167,0.000623665,0.000448167,-0.002,-0.0021,0.040714255,0.006767103,0,-0.003,-8.09718715
61,92.37486954,62.11679668,-0.002548167,-0.002495814,0.000448167,0.000295814,-0.0021,-0.0022,0.031700639,0.003097377,0,-0.003,-8.09718715
62,62.11679668,36.28733696,-0.002495814,-0.002463552,0.000295814,0.000163552,-0.0022,-0.0023,0.027374299,0.001055292,0,-0.003,-8.09718715
63,36.28733696,9.860308741,-0.002463552,-0.002448732,0.000163552,4.87E-05,-0.0023,-0.0024,0.026254896,0.000144438,0,-0.003,-8.09718715
64,9.860308741,-10.65808641,-0.002448732,-0.002449055,4.87E-05,-5.09E-05,-0.0024,-0.0025,0.027269722,3.29E-06,0,-0.003,-8.09718715
65,-10.65808641,-26.49601098,-0.002449055,-0.002462523,-5.09E-05,-0.000137477,-0.0025,-0.0026,0.029650198,0.0003703,0,-0.003,-8.09718715
66,-26.49601098,-43.40097916,-0.002462523,-0.002487402,-0.000137477,-0.000212598,-0.0026,-0.0027,0.032844316,0.001057856,0,-0.003,-8.09718715
67,-43.40097916,-54.16031979,-0.002487402,-0.002522188,-0.000212598,-0.000277812,-0.0027,-0.0028,0.036467765,0.00193279,0,-0.003,-8.09718715
