time_step,stress_t,stress_tdt,pl_strain_t,pl_strain_tdt,el_strain_t,el_strain_tdt,strain_t,strain_tdt,energy_tdt,dissipation_rate,group,strain_dynamic_tdt,stress_dynamic_tdt
0,0,-21.10141145,0,-6.75E-06,0,-9.33E-05,0,-0.0001,0.00174006,0.000125874,0,0,0
1,-21.10141145,-34.19963782,-6.75E-06,-2.58E-05,-9.33E-05,-0.0001742,-0.0001,-0.0002,0.00455882,0.000663605,0,0,0
2,-34.19963782,-49.65119847,-2.58E-05,-5.55E-05,-0.0001742,-0.0002445,-0.0002,-0.0003,0.007995104,0.001453326,0,0,0
3,-49.65119847,-60.88837924,-5.55E-05,-9.45E-05,-0.0002445,-0.0003055,-0.0003,-0.0004,0.011722703,0.002382252,0,0,0
4,-60.88837924,-72.59735248,-9.45E-05,-0.000141545,-0.0003055,-0.000358455,-0.0004,-0.0005,0.015519741,0.003372073,0,0,0
5,-72.59735248,-72.71813936,-0.000141545,-0.000195566,-0.000358455,-0.000404434,-0.0005,-0.0006,0.019238832,0.004369577,0,0,0
6,-72.71813936,-87.48965711,-0.000195566,-0.000255651,-0.000404434,-0.000444349,-0.0006,-0.0007,0.022786071,0.005339699,0,0,0
7,-87.48965711,-81.43326816,-0.000255651,-0.000320999,-0.000444349,-0.000479001,-0.0007,-0.0008,0.026105737,0.006260388,0,0,0
8,-81.43326816,-100.3131354,-0.000320999,-0.000390917,-0.000479001,-0.000509083,-0.0008,-0.0009,0.029168581,0.007118822,0,0,0
9,-100.3131354,-111.2637713,-0.000390917,-0.000464803,-0.000509083,-0.000535197,-0.0009,-0.001,0.03196381,0.007908637,0,0,0
10,-111.2637713,-110.1168568,-0.000464803,-0.000542132,-0.000535197,-0.000557868,-0.001,-0.0011,0.034493295,0.008627896,0,0,0
11,-110.1168568,-94.3927102,-0.000542132,-0.000622451,-0.000557868,-0.000577549,-0.0011,-0.0012,0.036766644,0.009277626,0,0,0
12,-94.3927102,-131.9880254,-0.000622451,-0.000705365,-0.000577549,-0.000594635,-0.0012,-0.0013,0.03879863,0.009860757,0,0,0
13,-131.9880254,-145.7743191,-0.000705365,-0.000790533,-0.000594635,-0.000609467,-0.0013,-0.0014,0.040606554,0.01038137,0,0,0
