time_step,stress_t,stress_tdt,pl_strain_t,pl_strain_tdt,el_strain_t,el_strain_tdt,strain_t,strain_tdt,energy_tdt,dissipation_rate,group,strain_dynamic_tdt,stress_dynamic_tdt
36,-140.5514981,-140.666212,-0.002897243,-0.002996669,-0.000702757,-0.000703331,-0.0036,-0.0037,0.052996201,0.013985939,0,0,0
37,-140.666212,-140.7657978,-0.002996669,-0.003096171,-0.000703331,-0.000703829,-0.0037,-0.0038,0.053066302,0.014006488,0,0,0
38,-140.7657978,-140.8522506,-0.003096171,-0.003195739,-0.000703829,-0.000704261,-0.0038,-0.0039,0.05312715,0.01402434,0,0,0
39,-140.8522506,-140.9273023,-0.003195739,-0.003295363,-0.000704261,-0.000704637,-0.0039,-0.004,0.053180139,0.014039846,0,0,0
40,-140.9273023,-103.692134,-0.003295363,-0.003381539,-0.000704637,-0.000518461,-0.004,-0.0039,0.033875152,0.008935757,0,0,0
41,-103.692134,-71.36741141,-0.003381539,-0.003443163,-0.000518461,-0.000356837,-0.0039,-0.0038,0.022340466,0.004397918,0,0,0
42,-71.36741141,-43.30556187,-0.003443163,-0.003483472,-0.000356837,-0.000216528,-0.0038,-0.0037,0.016264306,0.001745615,0,0,0
43,-43.30556187,-18.94441237,-0.003483472,-0.003505278,-0.000216528,-9.47E-05,-0.0037,-0.0036,0.013956346,0.000413097,0,0,0
44,-18.94441237,2.204072671,-0.003505278,-0.00351102,-9.47E-05,1.10E-05,-0.0036,-0.0035,1.42E-02,-1.27E-05,0,0,0
45,2.204072671,20.56356837,-0.00351102,-0.003502818,1.10E-05,0.000102818,-0.0035,-0.0034,0.016077422,0.000168673,0,0,0
46,20.56356837,36.50187703,-0.003502818,-0.003482509,0.000102818,0.000182509,-0.0034,-0.0033,0.018986293,0.000741297,0,0,0
47,36.50187703,50.33829646,-0.003482509,-0.003451691,0.000182509,0.000251691,-0.0033,-0.0032,0.022468797,0.001551321,0,0,0
48,50.33829646,62.35001657,-0.003451691,-0.00341175,0.000251691,0.00031175,-0.0032,-0.0031,0.026213477,0.002490347,0,0,0
49,62.35001657,72.77767242,-0.00341175,-0.003363888,0.00031175,0.000363888,-0.0031,-0.003,0.030007959,0.003483265,0,0,0
50,72.77767242,81.83016494,-0.003363888,-0.003309151,0.000363888,0.000409151,-0.003,-0.0029,0.033711838,0.004479182,0,0,0
51,81.83016494,89.68884594,-0.003309151,-0.003248444,0.000409151,0.000448444,-0.0029,-0.0028,0.037235982,0.005444704,0,0,0
52,89.68884594,96.51115116,-0.003248444,-0.003182556,0.000448444,0.000482556,-0.0028,-0.0027,0.04052817,0.006358972,0,0,0
53,96.51115116,102.4337543,-0.003182556,-0.003112169,0.000482556,0.000512169,-0.0027,-0.0026,0.043561541,0.007210003,0,0,0
54,102.4337543,107.5753049,-0.003112169,-0.003037877,0.000512169,0.000537877,-0.0026,-0.0025,0.046327087,0.007992011,0,0,0
55,107.5753049,112.0388055,-0.003037877,-0.002960194,0.000537877,0.000560194,-0.0025,-0.0024,0.048827457,0.008703454,0,0,0
56,112.0388055,115.9136751,-0.002960194,-0.002879568,0.000560194,0.000579568,-0.0024,-0.0023,0.051073168,0.009345616,0,0,0
57,115.9136751,119.2775402,-0.002879568,-0.002796388,0.000579568,0.000596388,-0.0023,-0.0022,0.053079416,0.009921586,0,0,0
58,119.2775402,122.1977904,-0.002796388,-0.002710989,0.000596388,0.000610989,-0.0022,-0.0021,0.054863626,0.010435538,0,0,0
59,122.1977904,124.732928,-0.002710989,-0.002623665,0.000610989,0.000623665,-0.0021,-0.002,0.056444741,0.010892217,0,0,0
60,124.732928,89.633418,-0.002623665,-0.002548167,0.000623665,0.000448167,-0.002,-0.0021,0.040714255,0.006767103,0,-0.003,-8.09718715
61,89.633418,59.16271045,-0.002548167,-0.002495814,0.000448167,0.000295814,-0.0021,-0.0022,0.031700639,0.003097377,0,-0.003,-8.09718715
62,59.16271045,32.71037482,-0.002495814,-0.002463552,0.000295814,0.000163552,-0.0022,-0.0023,0.027374299,0.001055292,0,-0.003,-8.09718715
63,32.71037482,9.746482082,-0.002463552,-0.002448732,0.000163552,4.87E-05,-0.0023,-0.0024,0.026254896,0.000144438,0,-0.003,-8.09718715
64,9.746482082,-10.1890116,-0.002448732,-0.002449055,4.87E-05,-5.09E-05,-0.0024,-0.0025,0.027269722,3.29E-06,0,-0.003,-8.09718715
65,-10.1890116,-27.49548107,-0.002449055,-0.002462523,-5.09E-05,-0.000137477,-0.0025,-0.0026,0.029650198,0.0003703,0,-0.003,-8.09718715
66,-27.49548107,-42.51963297,-0.002462523,-0.002487402,-0.000137477,-0.000212598,-0.0026,-0.0027,0.032844316,0.001057856,0,-0.003,-8.09718715
67,-42.51963297,-55.56245148,-0.002487402,-0.002522188,-0.000212598,-0.000277812,-0.0027,-0.0028,0.036467765,0.00193279,0,-0.003,-8.09718715
68,-55.56245148,-66.88522802,-0.002522188,-0.002565574,-0.000277812,-0.000334426,-0.0028,-0.0029,0.040254406,0.00290189,0,-0.003,-8.09718715
69,-66.88522802,-76.71479581,-0.002565574,-0.002616426,-0.000334426,-0.000383574,-0.0029,-0.003,0.044024784,0.003901113,0,-0.003,-8.09718715
70,-76.71479581,-85.24807406,-0.002616426,-0.00267376,-0.000383574,-0.00042624,-0.003,-0.0031,0.047661979,0.00488758,0,-0.003,-8.09718715
71,-85.24807406,-92.65601298,-0.00267376,-0.00273672,-0.00042624,-0.00046328,-0.0031,-0.0032,0.051093957,0.005833651,0,-0.003,-8.09718715
72,-92.65601298,-99.08701844,-0.00273672,-0.002804565,-0.00046328,-0.000495435,-0.0032,-0.0033,0.0542801,0.006722556,0,-0.003,-8.09718715
73,-99.08701844,-104.6699251,-0.002804565,-0.00287665,-0.000495435,-0.00052335,-0.0033,-0.0034,0.057201961,0.00754518,0,-0.003,-8.09718715
74,-104.6699251,-109.5165772,-0.00287665,-0.002952417,-0.00052335,-0.000547583,-0.0034,-0.0035,0.059855877,0.008297714,0,-0.003,-8.09718715
75,-109.5165772,-113.7240695,-0.002952417,-0.00303138,-0.000547583,-0.00056862,-0.0035,-0.0036,0.06224829,0.008979941,0,-0.003,-8.09718715
76,-113.7240695,-117.3766923,-0.00303138,-0.003113117,-0.00056862,-0.000586883,-0.0036,-0.0037,0.06439194,0.009594005,0,-0.003,-8.09718715
77,-117.3766923,-120.5476197,-0.003113117,-0.003197262,-0.000586883,-0.000602738,-0.0037,-0.0038,0.066303223,0.010143523,0,-0.003,-8.09718715
78,-120.5476197,-123.3003762,-0.003197262,-0.003283498,-0.000602738,-0.000616502,-0.0038,-0.0039,0.068000329,0.010632958,0,-0.003,-8.09718715
79,-123.3003762,-125.6901086,-0.003283498,-0.003371549,-0.000616502,-0.000628451,-0.0039,-0.004,0.0695022,0.011067182,0,-0.003,-8.09718715
80,-125.6901086,-90.46436891,-0.003371549,-0.003447678,-0.000628451,-0.000452322,-0.004,-0.0039,0.053568802,0.006886935,0,-0.003,-0.4785903
81,-90.46436891,-59.88407841,-0.003447678,-0.00350058,-0.000452322,-0.00029942,-0.0039,-0.0038,0.044412406,0.003167955,0,-0.003,-0.4785903
82,-59.88407841,-33.33661126,-0.00350058,-0.003533317,-0.00029942,-0.000166683,-0.0038,-0.0037,0.039987404,0.001091352,0,-0.003,-0.4785903
83,-33.33661126,-10.29013262,-0.003533317,-0.003548549,-0.000166683,-5.15E-05,-0.0037,-0.0036,0.038802156,0.000156743,0,-0.003,-0.4785903
84,-10.29013262,9.717055826,-0.003548549,-0.003548585,-5.15E-05,4.86E-05,-0.0036,-0.0035,0.039774833,-3.49E-07,0,-0.003,-0.4785903
85,9.717055826,27.08576519,-0.003548585,-0.003535429,4.86E-05,0.000135429,-0.0035,-0.0034,0.042126663,0.000356353,0,-0.003,-0.4785903
86,27.08576519,42.16394901,-0.003535429,-0.00351082,0.000135429,0.00021082,-0.0034,-0.0033,0.045305446,0.001037616,0,-0.003,-0.4785903
87,42.16394901,55.25367389,-0.00351082,-0.003476268,0.00021082,0.000276268,-0.0033,-0.0032,0.048921688,0.00190909,0,-0.003,-0.4785903
88,55.25367389,66.61717096,-0.003476268,-0.003433086,0.000276268,0.000333086,-0.0032,-0.0031,0.052706742,0.002876697,0,-0.003,-0.4785903
89,66.61717096,76.48208919,-0.003433086,-0.00338241,0.000333086,0.00038241,-0.0031,-0.003,0.056479145,0.003875761,0,-0.003,-0.4785903
90,76.48208919,85.04605599,-0.00338241,-0.00332523,0.00038241,0.00042523,-0.003,-0.0029,0.060120817,0.004862948,0,-0.003,-0.4785903
91,85.04605599,92.48063636,-0.00332523,-0.003262403,0.00042523,0.000462403,-0.0029,-0.0028,0.0635586,0.00581029,0,-0.003,-0.4785903
92,92.48063636,98.93476988,-0.003262403,-0.003194674,0.000462403,0.000494674,-0.0028,-0.0027,0.066751324,0.006700786,0,-0.003,-0.4785903
93,98.93476988,104.5377545,-0.003194674,-0.003122689,0.000494674,0.000522689,-0.0027,-0.0026,0.069679949,0.007525158,0,-0.003,-0.4785903
94,104.5377545,109.4018368,-0.003122689,-0.003047009,0.000522689,0.000547009,-0.0026,-0.0025,0.072340602,0.008279486,0,-0.003,-0.4785903
95,109.4018368,113.6244607,-0.003047009,-0.002968122,0.000547009,0.000568122,-0.0025,-0.0024,0.074739555,0.008963479,0,-0.003,-0.4785903
96,113.6244607,117.2902195,-0.002968122,-0.002886451,0.000568122,0.000586451,-0.0024,-0.0023,0.076889367,0.009579234,0,-0.003,-0.4785903
97,117.2902195,120.4725507,-0.002886451,-0.002802363,0.000586451,0.000602363,-0.0023,-0.0022,0.078806327,0.010130337,0,-0.003,-0.4785903
